House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion,Age Group
8,Edwards Creek,Max,Allen,48,Husband,Married,Male,"Designer, jewellery",Not Specified,Not Specified,"(40, 50]"
8,Edwards Creek,Terence,Allen,14,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
8,Edwards Creek,Tracey,Allen,10,Adopted Daughter,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
8,Edwards Creek,Samuel,Allen,4,Son,Not Applicable,Male,Child,Not Specified,Not Specified,"(0, 17]"
9,Edwards Creek,Josephine,Chapman,44,Head,Married,Female,Cytogeneticist,Not Specified,Catholic,"(40, 50]"
9,Edwards Creek,Abdul,Chapman,47,Husband,Married,Male,Counselling psychologist,Not Specified,Catholic,"(40, 50]"
9,Edwards Creek,Heather,Chapman,16,Daughter,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
10,Edwards Creek,Janet,Quinn,40,Head,Married,Female,"Optician, dispensing",Not Specified,Christian,"(30, 40]"
10,Edwards Creek,David,Quinn,46,Husband,Married,Male,Optometrist,Not Specified,Not Specified,"(40, 50]"
10,Edwards Creek,Lawrence,Quinn,17,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
11,Edwards Creek,Shaun,Wallace,42,Head,Single,Male,Database administrator,Not Specified,Christian,"(40, 50]"
11,Edwards Creek,Pauline,Parsons,6,Neice,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
11,Edwards Creek,Rachael,Parsons,6,Neice,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
12,Edwards Creek,Maurice,Simpson,36,Head,Divorced,Male,Unemployed,Not Specified,Catholic,"(30, 40]"
12,Edwards Creek,Lee,Hunt,11,Nephew,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
12,Edwards Creek,Jayne,Hunt,9,Neice,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
13,Edwards Creek,Elizabeth,Rogers,53,Head,Single,Female,"Teacher, special educational needs",Not Specified,Christian,"(50, 60]"
13,Edwards Creek,Frank,Hewitt,55,Partner,Single,Male,"Chemist, analytical",Not Specified,Christian,"(50, 60]"
13,Edwards Creek,Ryan,Rogers,21,Son,Single,Male,University Student,Not Specified,Christian,"(17, 30]"
13,Edwards Creek,Gareth,Rogers,13,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
14,Edwards Creek,Wendy,Coates,47,Head,Married,Female,Unemployed,Not Specified,Not Specified,"(40, 50]"
14,Edwards Creek,Bradley,Coates,49,Husband,Married,Male,Unemployed,Not Specified,Not Specified,"(40, 50]"
14,Edwards Creek,Geraldine,Coates,25,Daughter,Single,Female,Podiatrist,Not Specified,Not Specified,"(17, 30]"
14,Edwards Creek,Graham,Coates,24,Son,Divorced,Male,Astronomer,Not Specified,Not Specified,"(17, 30]"
14,Edwards Creek,Malcolm,Coates,10,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
15,Edwards Creek,Michelle,Martin,32,Head,Divorced,Female,Print production planner,Not Specified,Not Specified,"(30, 40]"
15,Edwards Creek,Linda,Martin,7,Daughter,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
15,Edwards Creek,Sam,Martin,3,Son,Not Applicable,Male,Child,Unknown Infection,Not Specified,"(0, 17]"
15,Edwards Creek,Jayne,Martin,0,Daughter,Not Applicable,Female,Child,Not Specified,Not Specified,
15,Edwards Creek,Christine,Rowe,37,Lodger,Single,Female,Bookseller,Not Specified,Catholic,"(30, 40]"
16,Edwards Creek,Rachel,Smith,75,Head,Married,Female,"Retired Psychologist, counselling",Not Specified,Christian,"(70, 80]"
16,Edwards Creek,Toby,Smith,77,Husband,Married,Male,"Retired Designer, multimedia",Not Specified,Not Specified,"(70, 80]"
16,Edwards Creek,Bernard,Moss,11,Grandson,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
17,Edwards Creek,Lewis,Potter,40,Head,Single,Male,Surgeon,Not Specified,Not Specified,"(30, 40]"
18,Edwards Creek,Debra,Stevens,39,Head,Single,Female,Clinical molecular geneticist,Not Specified,Catholic,"(30, 40]"
18,Edwards Creek,Ashley,Connor,42,Partner,Single,Male,"Scientist, audiological",Not Specified,Catholic,"(40, 50]"
18,Edwards Creek,Mandy,Stevens,2,Daughter,Not Applicable,Female,Child,Not Specified,Not Specified,"(0, 17]"
18,Edwards Creek,Ellie,Stevens,1,Daughter,Not Applicable,Female,Child,Not Specified,Not Specified,"(0, 17]"
18,Edwards Creek,Robert,Barnett,35,Lodger,Widowed,Male,Air traffic controller,Not Specified,Not Specified,"(30, 40]"
18,Edwards Creek,Amber,McDonald,43,Cousin,Single,Female,"Scientist, water quality",Not Specified,Catholic,"(40, 50]"
19,Edwards Creek,Megan,Stewart,45,Head,Divorced,Female,Unemployed,Not Specified,Christian,"(40, 50]"
19,Edwards Creek,Sandra,Stewart,13,Daughter,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
20,Edwards Creek,Reece,Kerr,55,Head,Married,Male,"Surveyor, building",Not Specified,Christian,"(50, 60]"
20,Edwards Creek,Irene,Bibi,53,Wife,Married,Female,"Scientist, marine",Not Specified,Christian,"(50, 60]"
21,Edwards Creek,Dawn,Brown,49,Head,Married,Female,Patent attorney,Not Specified,Not Specified,"(40, 50]"
21,Edwards Creek,Gregory,Brown,51,Husband,Married,Male,Building services engineer,Not Specified,Not Specified,"(50, 60]"
21,Edwards Creek,Jay,Brown,23,Son,Single,Male,"Teacher, special educational needs",Not Specified,Not Specified,"(17, 30]"
22,Edwards Creek,Rosie,Begum,36,Head,Married,Female,Unemployed,Not Specified,Methodist,"(30, 40]"
22,Edwards Creek,Joel,Begum,37,Husband,Married,Male,Audiological scientist,Not Specified,Methodist,"(30, 40]"
22,Edwards Creek,Lisa,Begum,2,Daughter,Not Applicable,Female,Child,Not Specified,Not Specified,"(0, 17]"
23,Edwards Creek,Albert,Briggs,72,Head,Married,Male,"Retired Sales professional, IT",Not Specified,Christian,"(70, 80]"
23,Edwards Creek,Sandra,Briggs,64,Wife,Married,Female,"Restaurant manager, fast food",Not Specified,Christian,"(60, 70]"
23,Edwards Creek,Louise,Briggs,27,Daughter,Divorced,Female,"Lecturer, further education",Not Specified,Not Specified,"(17, 30]"
24,Edwards Creek,Lauren,Stephenson,48,Head,Widowed,Female,Barista,Not Specified,Catholic,"(40, 50]"
24,Edwards Creek,Kathleen,Joyce,42,Not Specified,Single,Female,Community development worker,Not Specified,Catholic,"(40, 50]"
24,Edwards Creek,David,Collins,35,Not Specified,Single,Male,Clinical psychologist,Not Specified,Catholic,"(30, 40]"
25,Edwards Creek,Amelia,O'Brien,50,Head,Married,Female,"Designer, jewellery",Not Specified,Christian,"(40, 50]"
25,Edwards Creek,Lawrence,O'Brien,56,Husband,Married,Male,Manufacturing engineer,Not Specified,Christian,"(50, 60]"
25,Edwards Creek,Frances,White,15,Daughter,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
26,Edwards Creek,Joanne,Coleman,34,Head,Married,Female,Data processing manager,Not Specified,Not Specified,"(30, 40]"
26,Edwards Creek,Leslie,Coleman,33,Husband,Married,Male,Sports administrator,Not Specified,Not Specified,"(30, 40]"
26,Edwards Creek,Georgina,Coleman,15,Daughter,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
27,Edwards Creek,Kimberley,Read,59,Head,Single,Female,Retail buyer,Not Specified,Christian,"(50, 60]"
27,Edwards Creek07,Janet,Wilson,40,Not Specified,Single,Female,"Engineer, maintenance (IT)",Not Specified,Methodist,"(30, 40]"
27,Edwards Creek,Hazel,Hobbs,30,Not Specified,Single,Female,Electrical engineer,Not Specified,Not Specified,"(17, 30]"
27,Edwards Creek,Amber,Campbell,29,Not Specified,Single,Female,Press sub,Not Specified,Catholic,"(17, 30]"
28,Edwards Creek,Glen,Hawkins,59,Head,Single,Male,Curator,Not Specified,Methodist,"(50, 60]"
28,Edwards Creek,Jane,Lee,38,Not Specified,Single,Female,Education administrator,Not Specified,Christian,"(30, 40]"
28,Edwards Creek,Keith,Ahmed,56,Not Specified,Single,Male,Microbiologist,Not Specified,Not Specified,"(50, 60]"
28,Edwards Creek,Dennis,Thompson,44,Not Specified,Single,Male,Public house manager,Not Specified,Not Specified,"(40, 50]"
28,Edwards Creek,Valerie,Freeman,37,Not Specified,Single,Female,Exercise physiologist,Not Specified,Not Specified,"(30, 40]"
29,Edwards Creek,Kayleigh,Heath,47,Head,Married,Female,Actor,Not Specified,Catholic,"(40, 50]"
29,Edwards Creek,Lewis,Heath,49,Husband,Married,Male,Location manager,Not Specified,Catholic,"(40, 50]"
29,Edwards Creek,Sean,Heath,16,Adopted Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
30,Edwards Creek,Graham,Mitchell,49,Head,Married,Male,Futures trader,Not Specified,Not Specified,"(40, 50]"
30,Edwards Creek,Diane,Mitchell,45,Wife,Married,Female,Commercial horticulturist,Not Specified,Not Specified,"(40, 50]"
31,Edwards Creek,Jennifer,Ali,49,Head,Married,Female,Marketing executive,Not Specified,Not Specified,"(40, 50]"
31,Edwards Creek,Bernard,Ali,52,Husband,Married,Male,Nature conservation officer,Not Specified,Not Specified,"(50, 60]"
31,Edwards Creek,Robin,Ali,17,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
32,Edwards Creek,Gerard,Jenkins,44,Head,Married,Male,Radio producer,Not Specified,Not Specified,"(40, 50]"
32,Edwards Creek,Mandy,Jenkins,45,Wife,Married,Female,Animator,Not Specified,Not Specified,"(40, 50]"
32,Edwards Creek,Martin,Jenkins,13,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
33,Edwards Creek,Rita,Barker,40,Head,Married,Female,Secondary school teacher,Not Specified,Methodist,"(30, 40]"
33,Edwards Creek,Rhys,Barker,42,Husband,Married,Male,Dance movement psychotherapist,Not Specified,Not Specified,"(40, 50]"
34,Edwards Creek,Teresa,Kerr,39,Head,Married,Female,Social worker,Not Specified,Not Specified,"(30, 40]"
34,Edwards Creek,Richard,Kerr,41,Husband,Married,Male,"Scientist, marine",Not Specified,Not Specified,"(40, 50]"
34,Edwards Creek,Pauline,Kerr,12,Daughter,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
35,Edwards Creek,Sian,Barker,50,Head,Married,Female,Heritage manager,Not Specified,Christian,"(40, 50]"
35,Edwards Creek,Owen,Barker,52,Husband,Married,Male,General practice doctor,Not Specified,Christian,"(50, 60]"
35,Edwards Creek,Thomas,Barker,15,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
36,Edwards Creek,Josephine,Watson,47,Head,Divorced,Female,"Engineer, communications",Not Specified,Catholic,"(40, 50]"
36,Edwards Creek,Wayne,Watson,16,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
36,Edwards Creek,Kim,Watson,15,Daughter,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
36,Edwards Creek,Wayne,Watson,13,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
37,Edwards Creek,Bethany,Patel,38,Head,Married,Female,Product manager,Not Specified,Not Specified,"(30, 40]"
37,Edwards Creek,James,Patel,41,Husband,Married,Male,Dealer,Not Specified,Not Specified,"(40, 50]"
37,Edwards Creek,Charles,Patel,16,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
38,Edwards Creek,Lynne,Morris,41,Head,Single,Female,Architect,Not Specified,Methodist,"(40, 50]"
38,Edwards Creek,Bradley,Morris,5,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
38,Edwards Creek,Judith,Morris,3,Daughter,Not Applicable,Female,Child,Not Specified,Not Specified,"(0, 17]"
38,Edwards Creek,Nicholas,Webster,51,Visitor,Single,Male,Ecologist,Not Specified,Christian,"(50, 60]"
39,Edwards Creek,Natasha,Hamilton,22,Head,Single,Female,University Student,Not Specified,Catholic,"(17, 30]"
1,Brooks Ferry,Emma,Jones,54,Head,Single,Female,Dispensing optician,Not Specified,Christian,"(50, 60]"
2,Brooks Ferry,Conor,Carter,41,Head,Single,Male,Unemployed,Not Specified,Not Specified,"(40, 50]"
2,Brooks Ferry,Helen,Scott,39,Partner,Single,Female,"Editor, magazine features",Not Specified,Not Specified,"(30, 40]"
2,Brooks Ferry,Alan,Carter,14,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
2,Brooks Ferry,Luke,Carter,13,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
2,Brooks Ferry,Katherine,Carter,7,Daughter,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
2,Brooks Ferry,Joanne,Carter,6,Daughter,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
2,Brooks Ferry,Melissa,Carter,1,Daughter,Not Applicable,Female,Child,Not Specified,Not Specified,"(0, 17]"
2,Brooks Ferry,Bradley,Carter,1,Son,Not Applicable,Male,Child,Not Specified,Not Specified,"(0, 17]"
2,Brooks Ferry,Lydia,Carter,0,Daughter,Not Applicable,Female,Child,Not Specified,Not Specified,
3,Brooks Ferry,Samantha,Dunn,54,Head,Married,Female,"Solicitor, Scotland",Not Specified,Not Specified,"(50, 60]"
3,Brooks Ferry,Mark,Dunn,59,Husband,Married,Male,Seismic interpreter,Not Specified,Not Specified,"(50, 60]"
3,Brooks Ferry,Lynn,Knowles,6,Granddaughter,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
3,Brooks Ferry,Tina,Knowles,3,Granddaughter,Not Applicable,Female,Child,Not Specified,Not Specified,"(0, 17]"
3,Brooks Ferry,Terence,Power,3,Grandson,Not Applicable,Male,Child,Not Specified,Not Specified,"(0, 17]"
4,Brooks Ferry,Frederick,Bell,57,Head,Married,Male,Restaurant manager,Not Specified,Christian,"(50, 60]"
4,Brooks Ferry,Diane,Bell,56,Wife,Married,Female,"Administrator, sports",Not Specified,Not Specified,"(50, 60]"
4,Brooks Ferry,Mohammad,Bell,9,Grandson,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
4,Brooks Ferry,Dawn,Bell,5,Granddaughter,Not Applicable,Female,Student,Not Specified,Not Specified,"(0, 17]"
4,Brooks Ferry,Francis,Bell,1,Grandson,Not Applicable,Male,Child,Not Specified,Not Specified,"(0, 17]"
5,Brooks Ferry,Naomi,Marsh,48,Head,Married,Female,Press sub,Not Specified,Not Specified,"(40, 50]"
5,Brooks Ferry,Henry,Marsh,49,Husband,Married,Male,"Development worker, community",Not Specified,Not Specified,"(40, 50]"
5,Brooks Ferry,Kelly,Marsh,21,Daughter,Single,Female,Printmaker,Not Specified,Not Specified,"(17, 30]"
5,Brooks Ferry,Diana,Marsh,19,Daughter,Single,Female,University Student,Not Specified,Not Specified,"(17, 30]"
5,Brooks Ferry,Paul,Marsh,15,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
5,Brooks Ferry,Connor,Marsh,12,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
5,Brooks Ferry,Kenneth,Marsh,8,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
5,Brooks Ferry,Kathleen,Marsh,2,Daughter,Not Applicable,Female,Child,Not Specified,Not Specified,"(0, 17]"
6,Brooks Ferry,Brenda,Newton,88,Head,Married,Female,Retired General practice doctor,Not Specified,Christian,"(80, 90]"
6,Brooks Ferry,Louis,Newton,88,Husband,Married,Male,Retired Recycling officer,Not Specified,Christian,"(80, 90]"
6,Brooks Ferry,Dale,Newton,59,Son,Single,Male,Chartered legal executive (England and Wales),Not Specified,Not Specified,"(50, 60]"
6,Brooks Ferry,Carly,Newton,57,Daughter,Single,Female,Toxicologist,Not Specified,Christian,"(50, 60]"
6,Brooks Ferry,Bethan,Newton,54,Daughter,Single,Female,Barrister,Not Specified,Christian,"(50, 60]"
6,Brooks Ferry,Marian,Newton,51,Daughter,Widowed,Female,Ecologist,Not Specified,Christian,"(50, 60]"
6,Brooks Ferry,Yvonne,Newton,47,Daughter,Single,Female,Surgeon,Not Specified,Christian,"(40, 50]"
6,Brooks Ferry,Catherine,Newton,43,Daughter,Single,Female,Chief Executive Officer,Not Specified,Christian,"(40, 50]"
6,Brooks Ferry,Olivia,Newton,39,Daughter,Single,Female,Nutritional therapist,Not Specified,Christian,"(30, 40]"
6,Brooks Ferry,Lisa,Newton,35,Daughter,Divorced,Female,Technical brewer,Not Specified,Christian,"(30, 40]"
6,Brooks Ferry,Kayleigh,Newton,33,Daughter,Single,Female,Insurance claims handler,Not Specified,Christian,"(30, 40]"
6,Brooks Ferry,Edward,Newton,33,Son,Widowed,Male,Physiotherapist,Not Specified,Not Specified,"(30, 40]"
6,Brooks Ferry,Brian,Newton,29,Son,Single,Male,Air traffic controller,Not Specified,Not Specified,"(17, 30]"
6,Brooks Ferry,Brian,Newton,25,Son,Single,Male,"Buyer, retail",Not Specified,Not Specified,"(17, 30]"
6,Brooks Ferry,Linda,Nicholls-Newton,24,Daughter,Single,Female,Chief Technology Officer,Not Specified,Not Specified,"(17, 30]"
6,Brooks Ferry,Bruce,Nicholls-Newton,21,Son,Divorced,Male,University Student,Not Specified,Not Specified,"(17, 30]"
6,Brooks Ferry,Laura,Nicholls-Newton,20,Daughter,Widowed,Female,University Student,Not Specified,Not Specified,"(17, 30]"
6,Brooks Ferry,Georgia,Nicholls-Newton,18,Daughter,Divorced,Female,Student,Not Specified,Not Specified,"(17, 30]"
6,Brooks Ferry,Scott,Nicholls-Newton,15,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
1,Testament Circle,Keith,Wilson,29,Head,Married,Male,"Engineer, production",Not Specified,Not Specified,"(17, 30]"
1,Testament Circle,Lynne,Wilson,27,Wife,Married,Female,Systems analyst,Not Specified,Not Specified,"(17, 30]"
2,Testament Circle,Jemma,Ellis,65,Head,Widowed,Female,Unemployed,Not Specified,Christian,"(60, 70]"
3,Testament Circle,Paul,O'Neill,88,Head,Widowed,Male,Retired Chartered certified accountant,Not Specified,Not Specified,"(80, 90]"
4,Testament Circle,Abdul,Lewis,55,Head,Single,Male,Adult nurse,Not Specified,Catholic,"(50, 60]"
5,Testament Circle,Ashley,Smith,21,Head,Single,Male,Network engineer,Not Specified,Not Specified,"(17, 30]"
6,Testament Circle,Gemma,Slater,53,Head,Divorced,Female,Unemployed,Not Specified,Not Specified,"(50, 60]"
7,Testament Circle,Raymond,Smith,47,Head,Single,Male,"Research officer, government",Not Specified,Christian,"(40, 50]"
7,Testament Circle,Dorothy,Smith,59,Not Specified,Single,Female,"Education officer, community",Not Specified,Christian,"(50, 60]"
8,Testament Circle,Denis,Mann,39,Head,Divorced,Male,Soil scientist,Not Specified,Christian,"(30, 40]"
9,Testament Circle,Bryan,Cole,83,Head,Widowed,Male,Retired Transport planner,Not Specified,Methodist,"(80, 90]"
10,Testament Circle,Matthew,Dawson,27,Head,Married,Male,Clinical research associate,Not Specified,Not Specified,"(17, 30]"
10,Testament Circle,Lucy,Dawson,27,Wife,Married,Female,Systems developer,Not Specified,Not Specified,"(17, 30]"
11,Testament Circle,Alex,Dean,46,Head,Married,Male,Conference centre manager,Not Specified,Not Specified,"(40, 50]"
11,Testament Circle,Diane,Dean,47,Wife,Married,Female,Computer games developer,Not Specified,Not Specified,"(40, 50]"
11,Testament Circle,Stuart,Dean,17,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
12,Testament Circle,Jay,Allen,64,Head,Single,Male,Advertising account planner,Not Specified,Christian,"(60, 70]"
12,Testament Circle,Pamela,Allen,40,Daughter,Single,Female,"Engineer, production",Not Specified,Not Specified,"(30, 40]"
13,Testament Circle,Leanne,Khan,25,Head,Divorced,Female,Aid worker,Not Specified,Catholic,"(17, 30]"
14,Testament Circle,Jack,Summers,55,Head,Single,Male,Communications engineer,Not Specified,Christian,"(50, 60]"
15,Testament Circle,Chelsea,Gray,42,Head,Married,Female,Pathologist,Not Specified,Not Specified,"(40, 50]"
15,Testament Circle,Owen,Gray,38,Husband,Married,Male,"Engineer, manufacturing systems",Not Specified,Not Specified,"(30, 40]"
15,Testament Circle,Gary,Gray,16,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
16,Testament Circle,Marc,Payne,54,Head,Single,Male,Advice worker,Not Specified,Christian,"(50, 60]"
17,Testament Circle,Lisa,Hughes,56,Head,Divorced,Female,Geophysical data processor,Not Specified,Methodist,"(50, 60]"
17,Testament Circle,Stacey,Hughes,21,Daughter,Single,Female,University Student,Not Specified,Methodist,"(17, 30]"
17,Testament Circle,Sean,Hughes,17,Son,Not Applicable,Male,Student,Not Specified,Not Specified,"(0, 17]"
18,Testament Circle,Gary,Ellis,45,Head,Single,Male,Industrial buyer,Not Specified,Christian,"(40, 50]"
19,Testament Circle,Anthony,Fisher,82,Head,Divorced,Male,Retired Technical author,Not Specified,Methodist,"(80, 90]"
1,Outer Lane,Stuart,Jackson,36,Head,Divorced,Male,Secondary school teacher,Not Specified,Christian,"(30, 40]"
2,Outer Lane,Kate,Willis,37,Head,Single,Female,Office manager,Not Specified,Not Specified,"(30, 40]"
3,Outer Lane,Emma,Scott,36,Head,Single,Female,Media buyer,Not Specified,Catholic,"(30, 40]"
4,Outer Lane,Gail,Young,26,Head,Single,Female,"Merchandiser, retail",Not Specified,Methodist,"(17, 30]"
4,Outer Lane,Leon,Humphreys,30,Visitor,Single,Male,Claims inspector/assessor,Not Specified,Not Specified,"(17, 30]"
5,Outer Lane,Tracey,Nash,29,Head,Single,Female,Health visitor,Not Specified,Not Specified,"(17, 30]"
6,Outer Lane,Bethan,Kelly,47,Head,Single,Female,Unemployed,Not Specified,Christian,"(40, 50]"
7,Outer Lane,Mathew,Browne,37,Head,Single,Male,Publishing rights manager,Not Specified,Christian,"(30, 40]"
7,Outer Lane,Rosie,Smith,45,Not Specified,Single,Female,Prison officer,Not Specified,Christian,"(40, 50]"
8,Outer Lane,Elliott,Clark,59,Head,Single,Male,"Scientist, physiological",Not Specified,Christian,"(50, 60]"
9,Outer Lane,Angela,Cooke,77,Head,Widowed,Female,Retired Energy manager,Not Specified,Christian,"(70, 80]"
10,Outer Lane,Charlene,Jackson,77,Head,Widowed,Female,"Retired Engineer, civil (consulting)",Not Specified,Christian,"(70, 80]"
11,Outer Lane,Gary,Patel,77,Head,Married,Male,Retired Medical laboratory scientific officer,Not Specified,Not Specified,"(70, 80]"
11,Outer Lane,Pauline,Patel,78,Wife,Married,Female,"Retired Scientist, water quality",Not Specified,Not Specified,"(70, 80]"
12,Outer Lane,Christopher,Bird,56,Head,Divorced,Male,Clothing/textile technologist,Not Specified,Not Specified,"(50, 60]"
13,Outer Lane,Mohamed,Taylor,52,Head,Single,Male,Chartered loss adjuster,Not Specified,Not Specified,"(50, 60]"
13,Outer Lane,Georgina,Ali,31,Not Specified,Single,Female,Unemployed,Not Specified,Not Specified,"(30, 40]"
14,Outer Lane,Rachel,Wilkinson,33,Head,Divorced,Female,"Research officer, political party",Not Specified,Not Specified,"(30, 40]"
14,Outer Lane,Graham,Wilkinson,2,Son,Not Applicable,Male,Child,Not Specified,Not Specified,"(0, 17]"
14,Outer Lane,Eileen,Parsons,22,Lodger,Single,Female,University Student,Not Specified,Not Specified,"(17, 30]"
15,Outer Lane,Abbie,Barton,59,Head,Single,Female,Commissioning editor,Not Specified,Not Specified,"(50, 60]"
15,Outer Lane,Shaun,Barton,34,Son,Single,Male,Television floor manager,Not Specified,Christian,"(30, 40]"
15,Outer Lane,Rosie,Barton,32,Daughter,Single,Female,Equities trader,Not Specified,Not Specified,"(30, 40]"
16,Outer Lane,Deborah,White,25,Head,Single,Female,Regulatory affairs officer,Not Specified,Not Specified,"(17, 30]"
17,Outer Lane,Timothy,Smith,18,Head,Single,Male,Student,Not Specified,Not Specified,"(17, 30]"
18,Outer Lane,Duncan,Chadwick,60,Head,Single,Male,"Engineer, aeronautical",Not Specified,Catholic,"(50, 60]"
18,Outer Lane,Jennifer,Taylor,62,Partner,Single,Female,Nutritional therapist,Not Specified,Catholic,"(60, 70]"
19,Outer Lane,Jane,James,48,Head,Divorced,Female,Illustrator,Not Specified,Not Specified,"(40, 50]"
20,Outer Lane,Julie,Alexander,75,Head,Widowed,Female,Retired Advertising art director,Not Specified,Christian,"(70, 80]"
21,Outer Lane,Hannah,Reynolds,21,Head,Married,Female,University Student,Not Specified,Sikh,"(17, 30]"
21,Outer Lane,Jacob,Reynolds,25,Husband,Married,Male,Data scientist,Not Specified,Not Specified,"(17, 30]"
22,Outer Lane,Paige,Jackson,49,Head,Married,Female,Advertising copywriter,Not Specified,Sikh,"(40, 50]"
