House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
38,Edwards Creek,Lynne,Morris,41.0,Head,Single,Female,Architect,None,Methodist
38,Edwards Creek,Bradley,Morris,5.0,Son,,Male,Student,None,
38,Edwards Creek,Judith,Morris,3.0,Daughter,,Female,Child,None,
38,Edwards Creek,Nicholas,Webster,51.0,Visitor,Single,Male,Ecologist,None,Christian
39,Edwards Creek,Natasha,Hamilton,22.0,Head,Single,Female,University Student,None,Catholic
1,Brooks Ferry,Emma,Jones,54.0,Head,Single,Female,Dispensing optician,None,Christian
2,Brooks Ferry,Conor,Carter,41.0,Head,Single,Male,Unemployed,None,None
2,Brooks Ferry,Helen,Scott,39.0,Partner,Single,Female,"Editor, magazine features",None,None
2,Brooks Ferry,Alan,Carter,14.0,Son,,Male,Student,None,
2,Brooks Ferry,Luke,Carter,13.0,Son,,Male,Student,None,
2,Brooks Ferry,Katherine,Carter,7.0,Daughter,,Female,Student,None,
2,Brooks Ferry,Joanne,Carter,6.0,Daughter,,Female,Student,None,
2,Brooks Ferry,Melissa,Carter,1.0,Daughter,,Female,Child,None,
2,Brooks Ferry,Bradley,Carter,1.0,Son,,Male,Child,None,
2,Brooks Ferry,Lydia,Carter,0.0,Daughter,,Female,Child,None,
3,Brooks Ferry,Samantha,Dunn,54.0,Head,Married,Female,"Solicitor, Scotland",None,None
3,Brooks Ferry,Mark,Dunn,59.0,Husband,Married,Male,Seismic interpreter,None,None
3,Brooks Ferry,Lynn,Knowles,6.0,Granddaughter,,Female,Student,None,
3,Brooks Ferry,Tina,Knowles,3.0,Granddaughter,,Female,Child,None,
3,Brooks Ferry,Terence,Power,3.0,Grandson,,Male,Child,None,
4,Brooks Ferry,Frederick,Bell,57.0,Head,Married,Male,Restaurant manager,None,Christian
4,Brooks Ferry,Diane,Bell,56.0,Wife,Married,Female,"Administrator, sports",None,None
4,Brooks Ferry,Mohammad,Bell,9.0,Grandson,,Male,Student,None,
4,Brooks Ferry,Dawn,Bell,5.0,Granddaughter,,Female,Student,None,
4,Brooks Ferry,Francis,Bell,1.0,Grandson,,Male,Child,None,
5,Brooks Ferry,Naomi,Marsh,48.0,Head,Married,Female,Press sub,None,None
5,Brooks Ferry,Henry,Marsh,49.0,Husband,Married,Male,"Development worker, community",None,None
5,Brooks Ferry,Kelly,Marsh,21.0,Daughter,Single,Female,Printmaker,None,None
5,Brooks Ferry,Diana,Marsh,19.0,Daughter,Single,Female,University Student,None,None
5,Brooks Ferry,Paul,Marsh,15.0,Son,,Male,Student,None,
5,Brooks Ferry,Connor,Marsh,12.0,Son,,Male,Student,None,
5,Brooks Ferry,Kenneth,Marsh,8.0,Son,,Male,Student,None,
5,Brooks Ferry,Kathleen,Marsh,2.0,Daughter,,Female,Child,None,
6,Brooks Ferry,Brenda,Newton,88.0,Head,Married,Female,Retired General practice doctor,None,Christian
6,Brooks Ferry,Louis,Newton,88.0,Husband,Married,Male,Retired Recycling officer,None,Christian
6,Brooks Ferry,Dale,Newton,59.0,Son,Single,Male,Chartered legal executive (England and Wales),None,None
6,Brooks Ferry,Carly,Newton,57.0,Daughter,Single,Female,Toxicologist,None,Christian
6,Brooks Ferry,Bethan,Newton,54.0,Daughter,Single,Female,Barrister,None,Christian
6,Brooks Ferry,Marian,Newton,51.0,Daughter,Widowed,Female,Ecologist,None,Christian
6,Brooks Ferry,Yvonne,Newton,47.0,Daughter,Single,Female,Surgeon,None,Christian
6,Brooks Ferry,Catherine,Newton,43.0,Daughter,Single,Female,Chief Executive Officer,None,Christian
6,Brooks Ferry,Olivia,Newton,39.0,Daughter,Single,Female,Nutritional therapist,None,Christian
6,Brooks Ferry,Lisa,Newton,35.0,Daughter,Divorced,Female,Technical brewer,None,Christian
6,Brooks Ferry,Kayleigh,Newton,33.0,Daughter,Single,Female,Insurance claims handler,None,Christian
6,Brooks Ferry,Edward,Newton,33.0,Son,Widowed,Male,Physiotherapist,None,None
6,Brooks Ferry,Brian,Newton,29.0,Son,Single,Male,Air traffic controller,None,None
6,Brooks Ferry,Brian,Newton,25.0,Son,Single,Male,"Buyer, retail",None,None
6,Brooks Ferry,Linda,Nicholls-Newton,24.0,Daughter,Single,Female,Chief Technology Officer,None,None
6,Brooks Ferry,Bruce,Nicholls-Newton,21.0,Son,Divorced,Male,University Student,None,None
6,Brooks Ferry,Laura,Nicholls-Newton,20.0,Daughter,Widowed,Female,University Student,None,None
6,Brooks Ferry,Georgia,Nicholls-Newton,18.0,Daughter,Divorced,Female,Student,None,None
6,Brooks Ferry,Scott,Nicholls-Newton,15.0,Son,,Male,Student,None,
1,Testament Circle,Keith,Wilson,29.0,Head,Married,Male,"Engineer, production",None,None
1,Testament Circle,Lynne,Wilson,27.0,Wife,Married,Female,Systems analyst,None,None
2,Testament Circle,Jemma,Ellis,65.0,Head,Widowed,Female,Unemployed,None,Christian
3,Testament Circle,Paul,O'Neill,88.0,Head,Widowed,Male,Retired Chartered certified accountant,None,None
4,Testament Circle,Abdul,Lewis,55.0,Head,Single,Male,Adult nurse,None,Catholic
5,Testament Circle,Ashley,Smith,21.0,Head,Single,Male,Network engineer,None,None
6,Testament Circle,Gemma,Slater,53.0,Head,Divorced,Female,Unemployed,None,None
7,Testament Circle,Raymond,Smith,47.0,Head,Single,Male,"Research officer, government",None,Christian
7,Testament Circle,Dorothy,Smith,59.0,None,Single,Female,"Education officer, community",None,Christian
8,Testament Circle,Denis,Mann,39.0,Head,Divorced,Male,Soil scientist,None,Christian
9,Testament Circle,Bryan,Cole,83.0,Head,Widowed,Male,Retired Transport planner,None,Methodist
10,Testament Circle,Matthew,Dawson,27.0,Head,Married,Male,Clinical research associate,None,None
10,Testament Circle,Lucy,Dawson,27.0,Wife,Married,Female,Systems developer,None,None
11,Testament Circle,Alex,Dean,46.0,Head,Married,Male,Conference centre manager,None,None
11,Testament Circle,Diane,Dean,47.0,Wife,Married,Female,Computer games developer,None,None
11,Testament Circle,Stuart,Dean,17.0,Son,,Male,Student,None,
12,Testament Circle,Jay,Allen,64.0,Head,Single,Male,Advertising account planner,None,Christian
12,Testament Circle,Pamela,Allen,40.0,Daughter,Single,Female,"Engineer, production",None,None
13,Testament Circle,Leanne,Khan,25.0,Head,Divorced,Female,Aid worker,None,Catholic
14,Testament Circle,Jack,Summers,55.0,Head,Single,Male,Communications engineer,None,Christian
15,Testament Circle,Chelsea,Gray,42.0,Head,Married,Female,Pathologist,None,None
15,Testament Circle,Owen,Gray,38.0,Husband,Married,Male,"Engineer, manufacturing systems",None,None
15,Testament Circle,Gary,Gray,16.0,Son,,Male,Student,None,
16,Testament Circle,Marc,Payne,54.0,Head,Single,Male,Advice worker,None,Christian
17,Testament Circle,Lisa,Hughes,56.0,Head,Divorced,Female,Geophysical data processor,None,Methodist
17,Testament Circle,Stacey,Hughes,21.0,Daughter,Single,Female,University Student,None,Methodist
17,Testament Circle,Sean,Hughes,17.0,Son,,Male,Student,None,
18,Testament Circle,Gary,Ellis,45.0,Head,Single,Male,Industrial buyer,None,Christian
19,Testament Circle,Anthony,Fisher,82.0,Head,Divorced,Male,Retired Technical author,None,Methodist
1,Outer Lane,Stuart,Jackson,36.0,Head,Divorced,Male,Secondary school teacher,None,Christian
2,Outer Lane,Kate,Willis,37.0,Head,Single,Female,Office manager,None,None
3,Outer Lane,Emma,Scott,36.0,Head,Single,Female,Media buyer,None,Catholic
4,Outer Lane,Gail,Young,26.0,Head,Single,Female,"Merchandiser, retail",None,Methodist
4,Outer Lane,Leon,Humphreys,30.0,Visitor,Single,Male,Claims inspector/assessor,None,None
5,Outer Lane,Tracey,Nash,29.0,Head,Single,Female,Health visitor,None,None
6,Outer Lane,Bethan,Kelly,47.0,Head,Single,Female,Unemployed,None,Christian
7,Outer Lane,Mathew,Browne,37.0,Head,Single,Male,Publishing rights manager,None,Christian
7,Outer Lane,Rosie,Smith,45.0,None,Single,Female,Prison officer,None,Christian
8,Outer Lane,Elliott,Clark,59.0,Head,Single,Male,"Scientist, physiological",None,Christian
9,Outer Lane,Angela,Cooke,77.0,Head,Widowed,Female,Retired Energy manager,None,Christian
10,Outer Lane,Charlene,Jackson,77.0,Head,Widowed,Female,"Retired Engineer, civil (consulting)",None,Christian
11,Outer Lane,Gary,Patel,77.0,Head,Married,Male,Retired Medical laboratory scientific officer,None,None
11,Outer Lane,Pauline,Patel,78.0,Wife,Married,Female,"Retired Scientist, water quality",None,None
12,Outer Lane,Christopher,Bird,56.0,Head,Divorced,Male,Clothing/textile technologist,None,None
13,Outer Lane,Mohamed,Taylor,52.0,Head,Single,Male,Chartered loss adjuster,None,None
13,Outer Lane,Georgina,Ali,31.0,None,Single,Female,Unemployed,None,None
14,Outer Lane,Rachel,Wilkinson,33.0,Head,Divorced,Female,"Research officer, political party",None,None
14,Outer Lane,Graham,Wilkinson,2.0,Son,,Male,Child,None,
14,Outer Lane,Eileen,Parsons,22.0,Lodger,Single,Female,University Student,None,None
15,Outer Lane,Abbie,Barton,59.0,Head,Single,Female,Commissioning editor,None,None
15,Outer Lane,Shaun,Barton,34.0,Son,Single,Male,Television floor manager,None,Christian
15,Outer Lane,Rosie,Barton,32.0,Daughter,Single,Female,Equities trader,None,None
16,Outer Lane,Deborah,White,25.0,Head,Single,Female,Regulatory affairs officer,None,None
17,Outer Lane,Timothy,Smith,18.0,Head,Single,Male,Student,None,
18,Outer Lane,Duncan,Chadwick,60.0,Head,Single,Male,"Engineer, aeronautical",None,Catholic
18,Outer Lane,Jennifer,Taylor,62.0,Partner,Single,Female,Nutritional therapist,None,Catholic
19,Outer Lane,Jane,James,48.0,Head,Divorced,Female,Illustrator,None,None
20,Outer Lane,Julie,Alexander,75.0,Head,Widowed,Female,Retired Advertising art director,None,Christian
21,Outer Lane,Hannah,Reynolds,21.0,Head,Married,Female,University Student,None,Sikh
21,Outer Lane,Jacob,Reynolds,25.0,Husband,Married,Male,Data scientist,None,None
22,Outer Lane,Paige,Jackson,49.0,Head,Married,Female,Advertising copywriter,None,Sikh
22,Outer Lane,Denis,Jackson,58.0,Husband,Married,Male,Public relations account executive,None,Sikh
23,Outer Lane,Kathleen,Simmons,60.0,Head,Widowed,Female,Probation officer,None,Catholic
24,Outer Lane,Deborah,Phillips,63.0,Head,Divorced,Female,"Administrator, Civil Service",None,Christian
25,Outer Lane,Kimberley,Holland,52.0,Head,Single,Female,Unemployed,None,None
25,Outer Lane,Kathleen,Holland,12.0,Daughter,,Female,Student,None,
26,Outer Lane,Cheryl,Sims,25.0,Head,Single,Female,"Editor, commissioning",None,None
26,Outer Lane,Marc,Lawson,27.0,Partner,Single,Male,Careers adviser,None,None
27,Outer Lane,Pamela,Blackburn,54.0,Head,Married,Female,Land,None,Catholic
27,Outer Lane,Mohammed,Blackburn,57.0,Husband,Married,Male,Building control surveyor,None,None
28,Outer Lane,Fiona,Williams,82.0,Head,Widowed,Female,Retired Chief Marketing Officer,None,Christian
29,Outer Lane,Hayley,Atkinson,21.0,Head,Single,Female,University Student,None,Methodist
30,Outer Lane,Kevin,Riley,60.0,Head,Divorced,Male,Systems developer,None,Christian
31,Outer Lane,Christopher,Clark,22.0,Head,Single,Male,University Student,None,Catholic
32,Outer Lane,Jade,Collier,47.0,Head,Single,Female,Garment/textile technologist,None,Catholic
32,Outer Lane,Ross,Collier,11.0,Son,,Male,Student,None,
33,Outer Lane,Kimberley,Perry,38.0,Head,Married,Female,Retail buyer,None,Methodist
33,Outer Lane,Oliver,Perry,42.0,Husband,Married,Male,"Engineer, agricultural",None,None
34,Outer Lane,Tracy,Taylor,55.0,Head,Single,Female,"Designer, multimedia",None,Sikh
34,Outer Lane,Jeremy,Moore,50.0,None,Single,Male,Air broker,None,Catholic
35,Outer Lane,Donna,Shah,87.0,Head,Widowed,Female,"Retired Psychologist, counselling",None,None
36,Outer Lane,Josephine,Porter,69.0,Head,Single,Female,Retired Health and safety adviser,None,Christian
37,Outer Lane,Dennis,Hobbs,28.0,Head,Single,Male,"Therapist, occupational",None,None
38,Outer Lane,Carly,Cook,32.0,Head,Single,Female,Agricultural engineer,None,None
38,Outer Lane,Charles,Howells,26.0,Partner,Single,Male,Chief of Staff,None,None
38,Outer Lane,Martyn,Cook,8.0,Son,,Male,Student,None,
39,Outer Lane,Brandon,Rhodes,21.0,Head,Married,Male,University Student,None,None
39,Outer Lane,Kelly,Rhodes,23.0,Wife,Married,Female,Freight forwarder,None,None
40,Outer Lane,Nicola,Patel,30.0,Head,Married,Female,"Editor, magazine features",None,None
40,Outer Lane,Shaun,Patel,31.0,Husband,Married,Male,Financial planner,None,None
41,Outer Lane,Fiona,Gray,49.0,Head,Single,Female,"Engineer, petroleum",None,None
41,Outer Lane,Gerard,Hussain,53.0,Partner,Single,Male,Quantity surveyor,None,None
41,Outer Lane,Nicola,Gray,16.0,Daughter,,Female,Student,None,
42,Outer Lane,Sylvia,Baker,53.0,Head,Single,Female,Illustrator,None,Methodist
43,Outer Lane,Ann,Clarke,50.0,Head,Married,Female,Unemployed,None,Catholic
43,Outer Lane,Leonard,Clarke,53.0,Husband,Married,Male,"Surveyor, building",None,Catholic
43,Outer Lane,Marcus,Clarke,17.0,Son,,Male,Student,None,
43,Outer Lane,Sharon,Clarke,16.0,Daughter,,Female,Student,None,
44,Outer Lane,Sandra,Nicholls,31.0,Head,Married,Female,Building surveyor,None,Sikh
44,Outer Lane,Jacob,Nicholls,33.0,Husband,Married,Male,Charity officer,Mental Disability,Sikh
44,Outer Lane,Mitchell,Nicholls,0.0,Son,,Male,Child,None,
45,Outer Lane,Wendy,Williamson,48.0,Head,Married,Female,Advertising account executive,None,Christian
45,Outer Lane,William,Williamson,50.0,Husband,Married,Male,Field seismologist,None,Christian
46,Outer Lane,Sam,Read,40.0,Head,Divorced,Male,"Engineer, manufacturing",None,None
47,Outer Lane,Christian,White,75.0,Head,Single,Male,Retired Health and safety inspector,None,Christian
48,Outer Lane,Ashley,Naylor,58.0,Head,Single,Male,"Secretary, company",None,Christian
49,Outer Lane,Alexandra,Thomas,33.0,Head,Single,Female,"Accountant, chartered public finance",None,Catholic
50,Outer Lane,Emily,Waters,40.0,Head,Single,Female,Unemployed,None,Catholic
50,Outer Lane,Denise,Lawrence,39.0,None,Single,Female,Clinical cytogeneticist,None,None
51,Outer Lane,Joan,May,31.0,Head,Married,Female,Public relations officer,None,None
51,Outer Lane,Robin,May,33.0,Husband,Married,Male,Administrator,None,None
51,Outer Lane,Aimee,May,3.0,Daughter,,Female,Child,None,
52,Outer Lane,Shaun,Taylor,40.0,Head,Single,Male,Clinical psychologist,None,None
52,Outer Lane,Beverley,Cameron-Taylor,11.0,Neice,,Female,Student,None,
53,Outer Lane,Dennis,Turner,43.0,Head,Married,Male,Aid worker,None,None
53,Outer Lane,Ruth,Turner,42.0,Wife,Married,Female,Warehouse manager,None,None
54,Outer Lane,Rebecca,Simmons,37.0,Head,Single,Female,Visual merchandiser,None,Christian
55,Outer Lane,Sheila,Stone,79.0,Head,Widowed,Female,Retired Learning disability nurse,None,None
56,Outer Lane,John,Morrison,67.0,Head,Widowed,Male,Herbalist,None,Catholic
57,Outer Lane,Geraldine,Foster,25.0,Head,Married,Female,Hospital doctor,None,Muslim
57,Outer Lane,Damien,Foster,31.0,Husband,Married,Male,Building surveyor,None,Muslim
57,Outer Lane,George,Knight,62.0,Visitor,Single,Male,Chartered loss adjuster,None,None
58,Outer Lane,Lorraine,Evans,45.0,Head,Single,Female,Land,None,Catholic
1,Fowler Rapid,Christopher,Johnson,22.0,Head,Single,Male,University Student,None,Christian
2,Fowler Rapid,Hazel,Johnson,65.0,Head,Widowed,Female,Textile designer,None,Catholic
3,Fowler Rapid,Deborah,Hurst,38.0,Head,Single,Female,"Designer, graphic",None,None
4,Fowler Rapid,Francesca,Williams,81.0,Head,Single,Female,Retired Arts development officer,None,Christian
5,Fowler Rapid,Bethany,Thornton,46.0,Head,Single,Female,Learning mentor,None,Catholic
5,Fowler Rapid,Ross,Fraser,48.0,Partner,Single,Male,Immunologist,None,None
5,Fowler Rapid,Hilary,Thornton,16.0,Daughter,,Female,Student,None,
6,Fowler Rapid,Abdul,Murphy,60.0,Head,Single,Male,Claims inspector/assessor,None,None
7,Fowler Rapid,Karl,Moran,74.0,Head,Single,Male,Retired Estate manager/land agent,None,Methodist
1,Carlisle Summit,Joe,White,55.0,Head,Single,Male,English as a foreign language teacher,None,Jewish
2,Carlisle Summit,Alexandra,Harris,42.0,Head,Married,Female,Advertising copywriter,None,Catholic
2,Carlisle Summit,Declan,Harris,45.0,Husband,Married,Male,Radio producer,None,None
2,Carlisle Summit,Danny,Harris,23.0,Son,Divorced,Male,Theatre manager,None,None
2,Carlisle Summit,Ashleigh,Harris,23.0,Daughter,Widowed,Female,"Engineer, production",None,Catholic
2,Carlisle Summit,Danielle,Harris,19.0,Daughter,Single,Female,University Student,None,Catholic
3,Carlisle Summit,Jeffrey,Riley,22.0,Head,Single,Male,University Student,None,Methodist
3,Carlisle Summit,Gail,Gordon,22.0,None,Single,Female,University Student,None,Christian
3,Carlisle Summit,Brenda,Henry,18.0,None,Single,Female,University Student,None,Christian
